username,text,created_at,cleaned_text,sentiment
,This Is The GOOD project 🤫@Ammo_AI #AI #ammo,2025-03-17 04:56:23+00:00,good project 🤫ammoai ai ammo,positive
,#Bitcoin #crypto #BitcoinNews #bitcoinprice #BitcoinWhale #BTC #BTCnews #BTCprice #BTCWhale #btcusd #news #NewsBTC #Whale #Whal #BCH #BitcoinCash #altcoin #altcoins #Altcoin #altcoins #altcoinseason #AI #ML #DL #kripto #Bullrun #Bullish #BullMarket #Today #Token #Coin #web #Com https://t.co/pCriizTVrk,2025-03-17 04:56:22+00:00,bitcoin crypto bitcoinnews bitcoinprice bitcoinwhale btc btcnews btcprice btcwhale btcusd news newsbtc whale whal bch bitcoincash altcoin altcoins altcoin altcoins altcoinseason ai ml dl kripto bullrun bullish bullmarket today token coin web com,neutral
,"RT @dreamsartdesire: Schoolgirl Kate 🏳️‍⚧️
inspired by @kateumaruwu
#femboy #ai #sissy #lewd #trap #aiphoto #tgirl #aiart https://t.co/swXi…",2025-03-17 04:56:19+00:00,rt dreamsartdesire schoolgirl kate 🏳️‍⚧️ inspired kateumaruwu femboy ai sissy lewd trap aiphoto tgirl aiart,positive
,Google убил Фотошоп - редактировать фото можно текстом! #нейросеть #Gemini #AIStudio #2025 #ai https://t.co/EIrenuHzMZ,2025-03-17 04:56:17+00:00,google убил фотошоп редактировать фото можно текстом нейросеть gemini aistudio 2025 ai,neutral
,"RT @ManedWolfAscari: Ben and Marvin, those two dalmatian brothers, are up to no good again. They invited you over for some project, but it…",2025-03-17 04:56:17+00:00,rt manedwolfascari ben marvin two dalmatian brothers good invited project it…,positive
,"RT @AlexBanner2934: Wataa😳

Repost and follow for more✨
Promotion: Join here for more hot stuff https://t.co/GlkWoZOvAc…
@Mei6VRC @mei_lewd…",2025-03-17 04:56:16+00:00,rt alexbanner2934 wataa😳 repost follow more✨ promotion join hot stuff mei6vrc meilewd…,positive
,"अंधभक्त ने उड़ता तीर ले लिया #AI #Grok से !! 😂😂😂🤣😅
#PMModiPodcast https://t.co/BNAKwi59Um",2025-03-17 04:56:09+00:00,अंधभक्त ने उड़ता तीर ले लिया ai grok से 😂😂😂🤣😅 pmmodipodcast,neutral
,"🚀 The future is here! iAgent raft is pushing the boundaries of AI-powered gaming with $TOY at @playonTOY. 🎮🔥

Are you ready to level up and be part of the revolution? 👀💡 #AI #Gaming #Crypto",2025-03-17 04:56:09+00:00,🚀 future iagent raft pushing boundaries aipowered gaming toy playontoy 🎮🔥 ready level part revolution 👀💡 ai gaming crypto,positive
,"RT @umino96: 塚内の休憩タイム　(2/4)

：チンポ…ください。

：お前、まさかこんな淫乱とは、早く教えてよ、ほら！もっと深く！

：チンポ食っただけでイッた？おいおい（ニヤ

#NSFW #AIart #AI #gay #yaoi #ゲイ #stabledif…",2025-03-17 04:56:08+00:00,rt umino96 塚内の休憩タイム 24 ：チンポ…ください。 ：お前、まさかこんな淫乱とは、早く教えてよ、ほら！もっと深く！ ：チンポ食っただけでイッた？おいおい（ニヤ nsfw aiart ai gay yaoi ゲイ stabledif…,neutral
,Ready to transform your business with AI automation? Book a free 30-min consultation with me today! https://t.co/IJk8U5ec2b #AI #Automation,2025-03-17 04:56:06+00:00,ready transform business ai automation book free 30min consultation today ai automation,positive
,"RT @girlsexof: Hi, nice to see you🥰

How was your day?😊

Ready to chat with you here👇
https://t.co/BEJue612xf

*by AI
#adult #nsfw #xxx #se…",2025-03-17 04:56:05+00:00,rt girlsexof hi nice see you🥰 day😊 ready chat here👇 ai adult nsfw xxx se…,positive
,"包まってる様子を見てるとこちらも……💤
#AI
#動画
https://t.co/KunX32GdRZ",2025-03-17 04:56:03+00:00,包まってる様子を見てるとこちらも……💤 ai 動画,neutral
,"RT @sexydoll_AI: No444 48P cheongsam
View more at: https://t.co/rSCfHzCcq7 #stablediffusion #Realistic #aigirls #AIart #Ai美女 #Ai少女 #ai生产 #巨…",2025-03-17 04:56:01+00:00,rt sexydollai no444 48p cheongsam view stablediffusion realistic aigirls aiart ai美女 ai少女 ai生产 巨…,neutral
,@Ammo_AI #AI #ammo Optimism isn’t about ignoring problems; it’s about believing in solutions.,2025-03-17 04:56:01+00:00,ammoai ai ammo optimism isn’t ignoring problems it’s believing solutions,negative
